record_id,redcap_survey_identifier,user_experience_questionnaire_timestamp,q_example,additional_input,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,user_experience_questionnaire_complete
1,,"2024-02-19 14:37:42",2,,5,4,7,1,3,5,5,5,2,7,6,2,6,6,4,4,2,7,7,5,2,5,2,2,7,7,2
2,,"2024-02-19 15:58:23",2,,5,5,2,2,2,7,7,7,4,1,7,2,5,5,5,4,2,4,2,6,2,6,1,2,2,6,2
3,,"2024-02-19 16:07:01",2,,7,6,2,1,2,6,7,6,2,2,7,1,6,6,5,6,2,2,2,6,2,6,2,2,2,5,2
4,,"[not completed]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,,"[not completed]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,,"[not completed]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,,"[not completed]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,,"2024-03-21 15:00:49",2,,4,5,5,3,3,5,5,4,4,4,5,3,5,5,5,4,4,4,2,4,3,4,3,4,3,3,2
9,,"2024-05-10 10:22:08",2,,6,5,1,3,2,7,7,5,2,2,6,2,4,6,7,6,3,2,3,7,3,7,3,2,3,7,2
10,,"[not completed]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,,"[not completed]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,,"[not completed]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,,"2024-06-10 16:40:24",2,,6,6,4,2,2,5,7,7,1,2,5,2,5,5,4,5,2,2,1,6,2,6,2,2,2,4,2
14,,"[not completed]",2,,4,3,5,5,2,5,6,6,4,4,2,3,3,5,4,5,3,3,,5,2,4,2,2,2,4,0
15,,"2024-07-10 16:11:27",2,,7,6,1,2,1,6,7,6,1,2,6,1,3,6,7,7,1,2,2,6,6,6,2,2,2,6,2
16,,"2024-07-10 16:42:27",2,,4,6,2,2,2,6,6,4,3,2,7,1,5,4,6,5,2,3,4,4,4,5,3,2,3,5,2
17,,"[not completed]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,,"2024-07-10 16:11:15",2,,6,6,4,2,3,5,6,7,5,3,6,1,5,5,4,6,3,2,2,4,2,6,3,2,2,5,2
19,,"2024-07-10 16:24:24",2,,3,7,2,3,2,6,6,6,2,3,6,2,3,5,6,5,4,2,3,3,2,6,1,2,1,6,2
20,,"[not completed]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
